comparacion,sistema,dmos_score,audio_name
0,wavmark,5,arf_00295_00123410324.wav
1,wavmark,5,arf_00295_00144389596.wav
2,audioseal,5,arf_00295_00020689215.wav
3,silentcipher,5,arf_00295_00154756464.wav
4,audioseal,5,arf_00295_00131212768.wav
5,wavmark,5,arf_00295_00144389596.wav
6,audioseal,5,arf_00295_00020689215.wav
7,silentcipher,5,arf_00295_00020689215.wav
8,silentcipher,5,arf_00295_00144389596.wav
9,silentcipher,5,arf_00295_00191941175.wav
10,wavmark,5,arf_00295_00131212768.wav
11,audioseal,5,arf_00295_00020689215.wav
12,silentcipher,5,arf_00295_00131212768.wav
13,wavmark,5,arf_00295_00144389596.wav
14,audioseal,5,arf_00295_00144389596.wav
15,wavmark,5,arf_00295_00131212768.wav
16,wavmark,5,arf_00295_00191941175.wav
17,audioseal,5,arf_00295_00191941175.wav
18,wavmark,5,arf_00295_00191941175.wav
19,wavmark,5,arf_00295_00020689215.wav
